author,year,entry,title,in,publisher,place,pages,notes,Kortform (særlig),TEI-id,MS i arkivet
EFJ,1952,1952d,On the definition of phoneme categories on a distributional basis,"Acta Linguistica, 7",,,8-39,,,,
EFJ,1952,1952e,The phonetic basis for identification of phonemic elements,"Acta Linguistica, 7",,,611-617,,,,
EFJ,1953,1953,"[Anmeldelse] A. Cohen: The Phonemes of English, 1952","Le maître phonétique, 99",,,10-12,,,,
EFJ,1954,1954,Acoustic analysis of stop consonants,"Miscellanea Phonetica, 2",,,42-59,,,,
EFJ,1955,1955a,Om vokallængde i dansk rigsmål. Festskrift for Ernst W. Selmer,"Nordisk Tidsskrift for Tale og Stemme, 15",,,33-56,,,,
EFJ,1955,1955b,Kortfattet tysk fonetik for seminariet. Stencileret,,,,1-16,,,,
EFJ,1956,1956a,The commutation test and its application to phonemic analysis,For Roman Jakobson,?,?,140-151,,,,
EFJ,1956,1956b,Institut de linguistique et de phonétique de l'Université de Copenhague,Publication 7 de la Commission d'Enquête Linguistique du Comité International Permanent des Linguistes,Instituts de Phonétique et Archives Phonographiques,Louvain,107-113,,,,
EFJ,1957,1957,What can the new techniques of acoustic phonetics contribute to linguistics? ,Proceedings of the 8th International Congress of Linguists,,,433-478,,,,
EFJ,1959,1959a,An electrical manometer and its use in phonetic research,"Phonetica, 4",,,43-53,,,,
EFJ,1959,1959b,Die Bedeutung der funktionellen Sprachbeschreibung für die Phonetik,"Phonetica. Separatum, Suppl. ad., 4",,,7-28,,,,
EFJ,1960,1960,"Review af S. Smith: Analysis of vowel sounds by ear. Archives néerlandaises de phonétique expérimentale 20, 1944","Acta Linguistica, 8",,,56-57,,,,
EFJ,1961,1961a,What can the new techniques of acoustic phonetics contribute to linguistics?,Psycholinguistics ,"Holt, Rinehart and Winston",New York,112-142,,,,
EFJ,1961,1961b,Some remarks on the function of stress with special reference to the Germanic languages,Congrès international des sciences anthropologiques et ethnologiques. Deuxième session,,Bruxelles-Tervuren,86-88,,,,
EFJ,1962,1962,Discussion,Proceedings of the 4th International Congress of Phonetic Sciences,,Helsinki,"200-201, 595-597",,,,
EFJ,1963,1963a,Beobachtungen über den Zusammenhang zwischen Stimmhaftigkeit und intra-oralem Luftdruck. Festschrift für Otto von Essen,"Zeitschrift für Phonetik, 16",,,19-36,,,,
EFJ,1963,1963b,"[Anmeldelse] H. Wängler: Atlas deutscher Sprachlaute, 1960","Phonetica, 9",,,39-46,,,,
EFJ,1963,1963c,"[Anmeldelse] H. Wängler: Grundriss einer Phonetik des Deutschen mit einer allgemeinen Einführung in die Phonetik, 1960","Phonetica, 9",,,46-57,,,,
EFJ,1964,1964a,Discussion,Proceedings of the 5th International Congress of Phonetic Sciences,,Münster,"21-22, 430, 509-510, 559-560",,,,
EFJ,1964,1964b,Phonometry,"Phonetica, 11",,,144-154,,,,
EFJ,1964,1964c,Sound duration and place of articulation. Festschrift für Bohuslav Hála,"Zeitschrift für Phonetik, 17",,,175-207,,,,
EFJ,1964,1964d,"Paul Diderichsen in Memoriam. Institut for Lingvistik og Fonetik, 26/10-1964 (manuscript)",,,,,,,,
EFJ,1965,1965a,"Mindeforelæsning over Louis Hjelmslev. Institut for Lingvistik og Fonetik, 9/9-1965 (manuscript)",,,,1-21,,,,
EFJ,1965,1965b,Louis Hjelmslev 3/10-1899 – 30/5-1965,"Acta Linguistica Hafniensia, 9",,,III-XXII,,,,
EFJ,1965,1965c,Paul Diderichsen 16/8-1905 – 9/10-1964,"Acta Linguistica Hafniensia, 9",,,118-122,,,,
