Startdato;Slutdato;Land;Sted = By / Landområde;Institution;Kategori;Event / Begivenhed;Event-beskrivelse;Personer;Kilde
13-05-1935;14-05-1935;England;Leeds;Leeds University;F;Gæsteforelæsninger;Introduction to Phonematics;;
15-05-1935;;England;Leeds;Leeds University;F;Uformelt foredrag;The (Semantic) System of grammatical inflexions;;K50 - 829, K4 - næsten sidst
14-05-1935;19-05-1935;England;Overnatning i Leeds??;;Del af R;;;;
18-05-1935;;England;York;;Del af R;;;;
19-05-1935;25-05-1935;England;London;;Del af R;;;;
25-05-1935;26-05-1935;England;Oxford;;Del af R;;;;
06-06-1935;14-06-1935;England;Hereford;;Del af R;;;;K50 - 890
14-06-1935;09-07-1935;England;London;;Del af R;;;;
09-07-1935;20-07-1935;Wales (South Wales);Llandyssul;;Del af R;Feltstudier;;;K30 - 211
20-07-1935;26-07-1935;England;London;;Del af R;;;;
22-07-1935;26-07-1935;England;London;Second International Congress of Phonetic Sciences;N;Oplæg og deltagelse i generalforsamlinger i …..;;;
22-07-1935;;;;Second International Congress of Phonetic Sciences;F;Oplæg i Joint Session med Internationale Phonologische Arbeitsgemeinscahft;On the Principles of Phonematics;;K142 - 283ff
(22)26-07-1935;22-08-1935;Wales (North Wales);Criccieth;;Del af R;Feltstudier;;Sammen med Alan Ross;K30 - 211, 257f
22-08-1935;25-08-1935;Irland;Dublin;;Del af R;;;;K30 - 281-82
25-08-1935;14-09-1935;Irland;Aran Islands , ved Galway;;Del af R;Feltstudier;;;K30 - 278, 281-82, 290
14-09-1935;20-09-1935;Irland, England, Danmark;Rejsen hjem via Dublin, Holyhead, London, Esbjerg;;Del af Rejse;;;;K30 - 290
26-09-1935;;Danmark;København;Selskab for Nordisk Filologi;F;;Synspunkter for dansk fonetik;;K 142 - 415ff
07-10-1935;;Danmark;Aarhus;Humanistisk Samfund;F;;Forelæggelse af Catégorie des Cas;;K 97 - 255
23-04-1936;;Danmark;;Danmarks Radio;F;Radioforedrag;Sprog og tanke;;K 143 - 143
27-08-1936;01-09-1936;Danmark;København;Quatrième Congrès International de Linguistes;N;Oplæg og deltagelse;;;K70 - 1f
31-08-1936;;Danmark;København;Quatrième Congrès International de Linguistes;F;Oplæg;Essai d'une théorie des morphèmes;;K99 - 221
24-09-1936;;Danmark;København;Dansk selskab for oldtids- og middelalderforskning;F;Foredrag;Sprogvidenskabelig rekonstruktion;;K143 - 262ff
1937-2507 - 1937-3107;;;;;;;;;K68 - 36, 38
1937-3107 - 1937-06.08;;;;;;;;;K68 - …
01-09-1937;;Danmark;København;Københavns Universitet;L;Ansættelse som Professor i sammenlignende sprogvidenskab;;;K115 - 16, K12 - 137
30-09-1937;;Danmark;København;Lingvistkredsen;F;Foredrag;Forme et substance linguistiques;;
19-10-1937;31-10-1937;Tjekkoslovakiet;;;R;;;;K50
22-10-1937;;Tjekkoslovakiet;Prag;Institut Scandinave et Néerlandais;F;Foredrag på tjekkisk;Rasmus Rask, hans levned og virke;;
25-10-1937;;Tjekkoslovakiet;Prag;Cercle linguistique de Prague;F;Foredrag;Forme et substance linguistiques;;
26-10-1937;;Tjekkoslovakiet;Prag;Cercle linguistique de Prague;N;Deltager i møde, herunder diskussion om Kasuskategorien;Om Kasuskategorien, indledning ved V. Skalička;;
28-10-1937;30-10-1937;Tjekkoslovakiet;Brno;;N;Samtaler med Roman Jakobson;Emne, bl.a: Acta Linguistica, Revue internationale de linguistique  structurale;Roman Jakobson;K50
04-11-1937;;Danmark;København;Lingvistkredsen;F;Forme et substance linguistiques (Suite);;;
22-11-1937;;Danmark;København;Statsradiofonien;F;Foredrag;Den danske sprogforsker Rasmus Rask;;K117 - 233
25-11-1937;;Danmark;København;Lingvistkredsen;F;Oplæg sammen med W. Thalbitzer;L'hypothèse de C.C. Uhlenbeck sur les rapports entre l'eskimo et l'indo-européen;;
15-12-1937;;Danmark;Aarhus;Humanistisk Samfund;F;Foredrag;Sproglig form og substans;;
1938-39;;Rejser til fonetiske institutter, K62;;;R;;;;K143 - 198
20-04-1938;26-04-1938;Tyskland;Berlin;Kaiser Wilhelm-Instituttet für Hirnforschung, ledet af Eberhard Zwirner;N;;Deutsches Spracharchiv;Eberhard Zwirner, …;K62 - 247-48
;;Tyskland;Berlin;Berlins Universitet;N;;Institut für Lautforschung (ledet af D. Westermann);;
1938-27?/28?04;;Tyskland;Berlin;Deutschen Gesellschaft für Phonetik;F;Foredrag;Über die Beziehungen der Phonetik zur Sprachwissenschaft;;K135 - 334ff., 347
17-07-1938;23-07-1938;Rejse til Belgien;;;N;;Institut für Lautforschung, notits (ledet af D. Westermann);;
18-07-1938;22-07-1938;Belgien;Gent;Third International Congress of Phonetic Sciences;N;Deltagelse;;;
20-07-1938;;Belgien;Gent;Third International Congress of Phonetic Sciences ;F;Oplæg;The Syllable as a Structural Unit;;
31-07-1938;06-08-1938;Danmark;København;Deuxième Congrès International des Sciences Anthropologiques et Ethnologiques;N;Deltagelse;;;K71 - …
1938-xxxx;;Danmark;København;Deuxième Congrès International des Sciences Anthropologiques et Ethnologiques;F;Oplæg;Caractères grammaticaux des langues creòles; ;K135 - 265
30-09-1938;;Danmark;København;Lingvistkredsen;F;Oplæg;Rapport sur le IIIe  Congrès des sciences phonétiques (Gand 1938);;
09-11-1938;;Danmark;København;Det filologisk-historiske samfund;F;Foredrag;Nye bidrag til Rasmus Rasks levned;;K132 - 93
1939-januar??;;Frankrig;Paris;;;;;;K143 - 341
27-01-1939;03-02-1939;Norge;Oslo;Det kongelige Frederiks Universitet;N;Besøg Fonetisk Laboratorium ;;Selmer;K62 - 249 (afrejse KBH. 2601?)
31-01-1939;;Norge;Oslo;Det kongelige Frederiks Universitet;F;Foredrag;Den danske sprogforsker Rasmus Rask. Nye bidrag til hans levned;;K132 - 72-92
